ID	Text	Lat	Long	Location	Dialect	Genre	YoC	YoM	AuthName	AuthBD	AuthSex	AuthAge	RecName	RecBD	RecSex	RecAge	RecRelation	Words	OCWords	NamWords	ForWords	Types	OCTypes	NamTypes	ForTypes	Chars	OCChars	NamChars	ForChars	Tokens	Verb	Clause	PP	Nom	Dat	Acc	NomVerb	DatVerb	AccVerb	NomDat	NomAcc	DatAcc	Pas	NomCP	DatCP	AccCP	NomSize	DatSize	AccSize	Adj
coaelhom.o3,+AHom_2:151.326	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	MAT	DP	NomIndefinite	DatPronoun	AccIndefinite	VNom	DatV	VAcc	DatNom	AccNom	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	1	1	2	PreverbAdjacent
coaelhom.o3,+AHom_3:26.424	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	SUB	DP	NomWHEmpty	DatPronoun	AccIndefinite	NA	DatV	AccV	NA	NA	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	NA	1	1	PreverbDOIntervene
coaelhom.o3,+AHom_3:34.429	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	SUB	DP	NomWHEmpty	DatPronoun	AccIndefinite	NA	DatV	VAcc	NA	NA	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	NA	1	1	PreverbAdjacent
coaelhom.o3,+AHom_3:83.460	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	SUB	DP	NomIndefinite	DatName	AccIndefinite	NomV	VDat	VAcc	NomDat	NomAcc	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	1	1	2	Adjacent
coaelhom.o3,+AHom_3:89.461	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	SUB	DP	NomPronoun	DatPronoun	AccDefinite	NomV	DatV	AccV	NomDat	NomAcc	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	1	1	1	PreverbDOIntervene
coaelhom.o3,+AHom_3:155.503	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	SUB	DP	NomWHEmpty	DatPronoun	AccIndefinite	NA	DatV	VAcc	NA	NA	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	NA	1	1	PreverbAdjacent
coaelhom.o3,+AHom_3:182.512	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	SUB	DP	NomPronoun	DatName	AccDefinite	NomV	DatV	AccV	NomDat	NomAcc	AccDat	ACT	NomNoCP	DatNoCP	AccNoCP	1	1	4	PreverbAdjacent
coaelhom.o3,+AHom_4:80.565	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	MAT	DP	NomIndefinite	DatPronoun	AccConj	NomV	DatV	VAcc	NomDat	NomAcc	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	2	1	3	PreverbAdjacent
coaelhom.o3,+AHom_9:72.1335	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	SUB	DP	NomPronoun	DatIndefinite	AccIndefinite	NomV	DatV	AccV	NomDat	NomAcc	AccDat	ACT	NomNoCP	DatNoCP	AccNoCP	1	2	2	PreverbNegIntervene
coaelhom.o3,+AHom_11:54.1528	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	SUB	DP	NomEmpty	DatDefinite	AccIndefinite	NA	VDat	VAcc	NA	NA	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	NA	2	3	Adjacent
