ID	Text	Lat	Long	Location	Dialect	Genre	YoC	YoM	AuthName	AuthBD	AuthSex	AuthAge	RecName	RecBD	RecSex	RecAge	RecRelation	Words	OCWords	NamWords	ForWords	Types	OCTypes	NamTypes	ForTypes	Chars	OCChars	NamChars	ForChars	Tokens	Verb	Clause	PP	Nom	Dat	Acc	NomVerb	DatVerb	AccVerb	NomDat	NomAcc	DatAcc	Pas	NomCP	DatCP	AccCP	NomSize	DatSize	AccSize	Adj
coaelhom.o3,+AHom_1:251.136	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	MAT	NoIO	NomPronoun	DatNull	AccPronoun	NomV	NA	AccV	NA	NomAcc	NA	ACT	NomNoCP	NODat	AccNoCP	1	NA	1	NA
coaelhom.o3,+AHom_1:251.136	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	_	NoIO	NomNull	DatNull	AccPronoun	NA	NA	AccV	NA	NA	NA	ACT	NONom	NODat	AccNoCP	NA	NA	1	NA
coaelhom.o3,+AHom_1:251.136	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	_	DP	NomPronoun	DatPronoun	AccDefinite	NomV	DatV	VAcc	NomDat	NomAcc	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	1	1	6	PreverbAdjacent
coaelhom.o3,+AHom_1:375.198	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	MAT	NoIO	NomPronoun	DatNull	AccIndefinite	NA	NA	NA	NA	NomAcc	NA	ACT	NomNoCP	NODat	AccNoCP	1	NA	2	NA
coaelhom.o3,+AHom_1:375.198	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	_	DP	NomName	DatIndefinite	AccIndefinite	NomV	VDat	VAcc	NomDat	NomAcc	DatAcc	ACT	NomNoCP	DatHasCP	AccNoCP	2	7	2	NA
coaelhom.o3,+AHom_1:375.198	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	_	DP	NomPronoun	DatWHIndefinite	AccIndefinite	NomV	NA	AccV	NA	NomAcc	NA	ACT	NomNoCP	DatNoCP	AccNoCP	1	NA	1	NA
coaelhom.o3,+AHom_1:375.198	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	_	DP	NomEmpty	DatPronoun	AccNull	NA	NA	NA	NA	NA	NA	ACT	NomNoCP	DatNoCP	NOAcc	NA	1	NA	NA
coaelhom.o3,+AHom_1:375.198	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	_	NoIO	NomPronoun	DatNull	AccName	NomV	NA	VAcc	NA	NomAcc	NA	ACT	NomNoCP	NODat	AccHasCP	1	NA	13	NA
coaelhom.o3,+AHom_1:375.198	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	_	NoIO	NomWHIndefinite	DatNull	AccNull	NA	NA	NA	NA	NA	NA	ACT	NomNoCP	NODat	NOAcc	NA	NA	NA	NA
coaelhom.o3,+AHom_2:53.274	coaelhom	x	x	x	WS	O	1000	1000	Aelfric	955	m	xx	x	xxxx	x	xx	x	65047	25060	0	788	7937	5682	0	464	298369	154011	0	4105	4151	OLDENG	MAT	DP	NomEmpty	DatPronoun	AccIndefinite	NA	DatV	VAcc	NA	NA	DatAcc	ACT	NomNoCP	DatNoCP	AccNoCP	NA	1	2	PreverbAdjacent
